Sexo,Edad,Estado de salud,Valor
Ambos sexos,TOTAL,Total,100
Ambos sexos,TOTAL,Muy bueno,25.75
Ambos sexos,TOTAL,Bueno,49.76
Ambos sexos,TOTAL,Regular,17.45
Ambos sexos,TOTAL,Malo,5.53
Ambos sexos,TOTAL,Muy malo,1.51
Ambos sexos,De 15 a 24 años,Total,100
Ambos sexos,De 15 a 24 años,Muy bueno,54.07
Ambos sexos,De 15 a 24 años,Bueno,38.25
Ambos sexos,De 15 a 24 años,Regular,6.85
Ambos sexos,De 15 a 24 años,Malo,0.52
Ambos sexos,De 15 a 24 años,Muy malo,0.31
Ambos sexos,De 25 a 34 años,Total,100
Ambos sexos,De 25 a 34 años,Muy bueno,41.06
Ambos sexos,De 25 a 34 años,Bueno,48.63
Ambos sexos,De 25 a 34 años,Regular,8.97
Ambos sexos,De 25 a 34 años,Malo,1.03
Ambos sexos,De 25 a 34 años,Muy malo,0.31
Ambos sexos,De 35 a 44 años,Total,100
Ambos sexos,De 35 a 44 años,Muy bueno,31.25
Ambos sexos,De 35 a 44 años,Bueno,54.32
Ambos sexos,De 35 a 44 años,Regular,11.53
Ambos sexos,De 35 a 44 años,Malo,2.41
Ambos sexos,De 35 a 44 años,Muy malo,0.49
Ambos sexos,De 45 a 54 años,Total,100
Ambos sexos,De 45 a 54 años,Muy bueno,23.28
Ambos sexos,De 45 a 54 años,Bueno,56.05
Ambos sexos,De 45 a 54 años,Regular,14.58
Ambos sexos,De 45 a 54 años,Malo,4.85
Ambos sexos,De 45 a 54 años,Muy malo,1.25
Ambos sexos,De 55 a 64 años,Total,100
Ambos sexos,De 55 a 64 años,Muy bueno,13.89
Ambos sexos,De 55 a 64 años,Bueno,56.12
Ambos sexos,De 55 a 64 años,Regular,22
Ambos sexos,De 55 a 64 años,Malo,6.31
Ambos sexos,De 55 a 64 años,Muy malo,1.68
Ambos sexos,De 65 a 74 años,Total,100
Ambos sexos,De 65 a 74 años,Muy bueno,10.17
Ambos sexos,De 65 a 74 años,Bueno,50.67
Ambos sexos,De 65 a 74 años,Regular,27.57
Ambos sexos,De 65 a 74 años,Malo,8.69
Ambos sexos,De 65 a 74 años,Muy malo,2.89
Ambos sexos,De 75 a 84 años,Total,100
Ambos sexos,De 75 a 84 años,Muy bueno,6.21
Ambos sexos,De 75 a 84 años,Bueno,37.66
Ambos sexos,De 75 a 84 años,Regular,36.29
Ambos sexos,De 75 a 84 años,Malo,16.43
Ambos sexos,De 75 a 84 años,Muy malo,3.42
Ambos sexos,De 85 y más años,Total,100
Ambos sexos,De 85 y más años,Muy bueno,2.23
Ambos sexos,De 85 y más años,Bueno,29.92
Ambos sexos,De 85 y más años,Regular,38.17
Ambos sexos,De 85 y más años,Malo,22.2
Ambos sexos,De 85 y más años,Muy malo,7.47
H,TOTAL,Total,100
H,TOTAL,Muy bueno,28.17
H,TOTAL,Bueno,51.1
H,TOTAL,Regular,15.23
H,TOTAL,Malo,4.37
H,TOTAL,Muy malo,1.13
H,De 15 a 24 años,Total,100
H,De 15 a 24 años,Muy bueno,58.99
H,De 15 a 24 años,Bueno,34.91
